name,lat,lon
Fire_0,467622.656137347,790752.750087768
Fire_1,477278.406838939,791470.632510275
Fire_2,480570.124993026,803441.312637106
Fire_3,469576.597439438,817938.640597776
Fire_4,480522.496479347,813845.483101696
Fire_5,482506.687392861,819550.062571779
Fire_6,486103.814056858,826707.666038692
Fire_7,504145.98433727,825362.152981699
Fire_8,486512.550444096,841859.770905018
Fire_9,499546.187434524,839454.750124529
Fire_10,508166.535351276,849076.843413115
Fire_11,492709.964558437,851757.036871612
Fire_12,475984.627602354,776133.052293107
Fire_13,474603.530627027,844545.165140525
